FILE	FLAG	POST	VALUE	SOURCE	DESTINATION
Holy-Bible---Panjabi---Punjabi-Bible				http://ebible.org/Scriptures/pan_vpl.zip	Holy-Bible---Panjabi---Punjabi-Bible---Source-Edition.VPL.zip
Holy-Bible---Persian---Old-Persion-Version-Bible				http://ebible.org/sword/zip/pesOPV1895eb.zip	Holy-Bible---Persian---Old-Persion-Version-Bible---Source-Edition.SWORD.zip
Holy-Bible---Persian---Old-Persion-Version-Bible				http://ebible.org/epub/pesOPV.epub	Holy-Bible---Persian---Old-Persion-Version-Bible---Source-Edition.epub
Holy-Bible---Persian---Old-Persion-Version-Bible				http://ebible.org/pdf/pesOPV/pesOPV_prt.pdf	Holy-Bible---Persian---Old-Persion-Version-Bible---Source-Edition.pdf
Holy-Bible---Persian---Old-Persion-Version-Bible				http://ebible.org/Scriptures/pesOPV_vpl.zip	Holy-Bible---Persian---Old-Persion-Version-Bible---Source-Edition.VPL.zip
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet				http://ebible.org/sword/zip/pon-pdneb.zip	Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet---Source-Edition.SWORD.zip
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet				http://ebible.org/epub/pon-pdn.epub	Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet---Source-Edition.epub
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet				http://ebible.org/pdf/pon-pdn/pon-pdn_prt.pdf	Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet---Source-Edition.pdf
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet				http://ebible.org/Scriptures/pon-pdn_vpl.zip	Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-New-Alphabet---Source-Edition.VPL.zip
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet				http://ebible.org/sword/zip/pon1922eb.zip	Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet---Source-Edition.SWORD.zip
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet				http://ebible.org/epub/pon.epub	Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet---Source-Edition.epub
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet				http://ebible.org/pdf/pon/pon_prt.pdf	Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet---Source-Edition.pdf
Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet				http://ebible.org/Scriptures/pon_vpl.zip	Holy-Bible---Pohnpeian---Pohnpeian-NT-Psalms-Old-Alphabet---Source-Edition.VPL.zip
Holy-Bible---Polish---Polish-Gdansk	SWORD			http://crosswire.org/ftpmirror/pub/sword/packages/rawzip/PolGdanska.zip	Holy-Bible---Polish---Polish-Gdansk---Source-Edition.SWORD.zip
Holy-Bible---Polish---Polish-Updated-Gdansk				http://ebible.org/sword/zip/polubg2018eb.zip	Holy-Bible---Polish---Polish-Updated-Gdansk---Source-Edition.SWORD.zip
Holy-Bible---Polish---Polish-Updated-Gdansk				http://ebible.org/epub/polubg.epub	Holy-Bible---Polish---Polish-Updated-Gdansk---Source-Edition.epub
