# File Name: ANAVIGATION.txt
# File Size: 21277       
# File Date: 12/19/2024 19:23:45
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	STATUS	MISSING
Holy-Bible---Kannada---Open-Contemporary		
Holy-Bible---Kannada---Open-Contemporary	VERSMISS	042-LUK-001-055
Holy-Bible---Kannada---Open-Contemporary	VERSMISS	042-LUK-001-070
Holy-Bible---Kara---Kara-Bible		
Holy-Bible---Kiche---Totonicapan		
Holy-Bible---Kiche---Totonicapan	VERSMISS	065-JUD-001-021
Holy-Bible---Kinga---Mahanji-Bible		
Holy-Bible---Kisi---Kisi-Bible		
Holy-Bible---Korean---Korean-1910		
Holy-Bible---Korean---Korean-1910	VERSMISS	019-PSA-016-010
Holy-Bible---Korean---Korean-1910	CHAPMISS	060-1PE-005-010
Holy-Bible---Korean---Korean-1910	CHAPMISS	060-1PE-005-011
Holy-Bible---Korean---Korean-RV		
Holy-Bible---Korean---Korean-RV	VERSMISS	019-PSA-016-010
Holy-Bible---Korean---Korean-Revised-Version		
Holy-Bible---Kosraean---Kosraean-Bible		
Holy-Bible---Kuhane---Kuhane-Bible		
Holy-Bible---Kurdish---Sorani-Bible		
Holy-Bible---Kuvi---Kuvi-Bible		
Holy-Bible---Latin---Clementine-Vulgate-1598		
Holy-Bible---Latin---Clementine-Vulgate-Conte		
Holy-Bible---Latin---Clementine-Vulgate-Hetzenauer		
Holy-Bible---Latin---Clementine-Vulgate-Tweedale		
Holy-Bible---Latin---Vulgata-Sistina		
Holy-Bible---Latin---Vulgate-Jerome		
Holy-Bible---Latvian---Latvian-Gluck-Bible		
Holy-Bible---Lingala---Lingala-Bible		
Holy-Bible---Lodhi---Lodhi-Bible		
