# File Name: TALLY.txt
# File Size: 22407       
# File Date: 09/05/2024 15:09:08
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution 4.0 International, 2018-2024
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	AIONIAN	STANDARD	SOURCE
Holy-Bible---Hebrew---Hebrew-Westminster-Leningrad-Kimball	23143	23143	23212
Holy-Bible---Hebrew---Living-Bible	7726	7726	7727
Holy-Bible---Hebrew---Modern-Hebrew-Bible	31092	31092	31102
Holy-Bible---Hindi---Contemporary	31086	31086	31087
Holy-Bible---Hindi---Hindi-Bible	31102	31102	31104
Holy-Bible---Hungarian---Hungarian-Jewish-Bible	23135	23135	23204
Holy-Bible---Hungarian---Hungarian-Karoli	31102	31102	31173
Holy-Bible---Hungarian---Magyar-Bible	7957	7957	7961
Holy-Bible---Icelandic---Open-Living-Word	10080	10080	10146
Holy-Bible---Igbo---Igbo-Bible	31102	31102	31103
Holy-Bible---Ilocano---Ilocano-Bible	31076	31076	31102
Holy-Bible---Indonesian---Bahasa-Indonesia-Sehari-hari	29687	29687	31102
Holy-Bible---Indonesian---For-All	7941	7941	7959
Holy-Bible---Indonesian---New-Indonesian-Translation	31102	31102	31102
Holy-Bible---Indonesian---Simple	15888	15888	15889
Holy-Bible---Irish---Odomhnuill-Modern	1115	1115	1115
Holy-Bible---Isanzu---Isanzu-Bible	7950	7950	7955
Holy-Bible---Italian---Conferenza-Episcopale-Italiana	31072	31072	31333
Holy-Bible---Italian---Italian-Giovanni-Diodati-Bible	31102	31102	31110
Holy-Bible---Italian---Italian-Riveduta-Bible	31102	31102	31102
