# File Name: UNTRANSLATECOUNT.txt
# File Size: 22098       
# File Date: 10/18/2022 09:56:37
# File Purpose: Supporting resource for the Aionian Bible project
# File Location: https://resources.AionianBible.org
# File Copyright: Creative Commons Attribution No Derivative Works 4.0, 2018-2022
# File Generator: ABCMS (alpha)
# File Accuracy: Contact publisher with corrections to file format or content
# Publisher Name: Nainoia Inc
# Publisher Contact: https://www.AionianBible.org/Publisher
# Publisher Mission: https://www.AionianBible.org/Preface
# Publisher Website: https://NAINOIA-INC.signedon.net
# Publisher Facebook: https://www.Facebook.com/AionianBible
#
BIBLE	HELL_ALL	HELL_OUT	SHEOL	GEHENNA	HADES	ABYSS	TARTARUS	LOF	AION	AIONIAN	AION-2	AIDIOS	AION_OUT	CUSTOM	OUT	IN	VERSE_DO	VERSE_OK	VERSE_SK	VERSE_NO	VERSE_ER	VERSE_CK
Holy-Bible---Scots-Gaelic---Scots-Gaelic-Gospel-Mark	0	0	0	3	0	0	0	0	2	1	4	0	0	0	0	10	8	8	0	255	0	0
Holy-Bible---Serbian---Karadzic-Danicic-Latin-Script	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Serbian---Serbian-Ekavski-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Shona---Shona-Bible	0	0	0	12	11	9	1	5	94	64	10	2	0	1	0	208	201	200	0	63	0	1
Holy-Bible---SlavonicChurch---Church-Slavonic-Elizabeth	0	4	63	12	11	9	1	5	94	64	10	2	0	15	4	271	278	263	0	0	0	15
Holy-Bible---Slovene---Slovene-Savli-Bible	0	1	63	12	11	9	1	5	94	64	10	2	0	1	1	271	264	263	0	0	0	1
Holy-Bible---Slovene---Slovene-Stritarja-NT	0	0	15	12	11	9	1	5	94	64	10	2	0	1	0	223	216	215	0	48	0	1
Holy-Bible---Somali---Somali-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Spanish---Free-Bible	17	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Spanish---Reina-Valera-1865	74	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Spanish---Reina-Valera-1909	73	1	63	12	11	9	1	5	94	64	10	2	0	1	1	271	264	263	0	0	0	1
Holy-Bible---Spanish---Reina-Valera-NT-1858	36	0	0	12	11	9	1	5	94	64	10	2	0	1	0	208	201	200	0	63	0	1
Holy-Bible---Spanish---Sagradas-Escrituras-1569	69	1	63	12	11	9	1	5	94	64	10	2	0	1	1	271	264	263	0	0	0	1
Holy-Bible---Spanish---Sencillo-Bible	50	1	63	12	11	9	1	5	94	64	10	2	0	1	1	271	264	263	0	0	0	1
Holy-Bible---Swahili---New-Swahili-Bible	59	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Swahili---Swahili-Bible	21	1	0	12	11	9	1	5	93	64	10	2	0	1	1	207	200	199	1	63	0	1
Holy-Bible---Swedish---Swedish-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Swedish---Swedish-Bible-1873	0	2	63	12	11	9	1	5	94	64	10	2	0	1	2	271	264	263	0	0	0	1
Holy-Bible---Tagalog---Tagalog-Bible	0	0	63	12	11	9	1	5	94	64	10	2	0	1	0	271	264	263	0	0	0	1
Holy-Bible---Tagalog---Tagalog-Bible-Unlocked	0	0	63	12	11	9	1	5	94	64	10	2	0	0	0	271	263	263	0	0	0	0
Holy-Bible---Tamil---Tamil-Bible	0	0	63	12	11	9	1	5	94	63	10	2	0	22	0	270	274	263	0	0	0	11
Holy-Bible---Telugu---Telugu-Bible	0	0	63	12	11	9	1	5	94	63	10	2	0	4	0	270	265	263	0	0	0	2
